x;y;z;R;G;B;semantic_label
3.91022968;-2.82249331;-5.81429434;115;90;73;1.000000
3.92541456;-2.75592995;-5.81518173;142;101;76;1.000000
3.92867494;-2.83305478;-5.81429482;164;131;98;1.000000
3.82195187;-2.86498046;-5.81319618;148;115;90;1.000000
3.89343548;-2.84357452;-5.81393242;142;101;76;1.000000
3.82611227;-2.84422970;-5.81346846;150;117;92;1.000000
4.05245066;-2.71423602;-5.81653404;138;105;80;1.000000
3.88418269;-2.89141178;-5.81330585;154;121;88;1.000000
3.86557770;-2.78173876;-5.81447268;154;113;88;1.000000
4.06493568;-2.69523764;-5.81684208;123;98;82;1.000000
3.88578463;-2.76013041;-5.81486416;140;107;82;1.000000
3.78736496;-2.82133055;-5.81347609;157;124;99;1.000000
3.95225048;-2.74612904;-5.81547928;132;99;74;1.000000
3.86707997;-2.88685846;-5.81324387;148;115;98;1.000000
3.89606047;-2.90041518;-5.81327963;150;117;92;1.000000
3.92846537;-2.84614491;-5.81413937;154;121;97;1.000000
3.94960856;-2.80575037;-5.81475878;154;121;88;1.000000
3.81967735;-2.82454491;-5.81365728;156;115;98;1.000000
4.10324478;-2.66228843;-5.81749010;138;105;88;1.000000
3.93132544;-2.76910377;-5.81506681;142;109;84;1.000000
3.78674912;-2.84625316;-5.81317854;131;115;98;1.000000
3.87701344;-2.79377055;-5.81440830;150;109;84;1.000000
3.91509175;-2.88360453;-5.81360674;156;115;90;1.000000
3.97774506;-2.73182321;-5.81582069;132;107;82;1.000000
4.11516762;-2.65471411;-5.81766033;115;90;73;1.000000
3.82723427;-2.87668324;-5.81309366;150;117;92;1.000000
3.77058792;-2.84926033;-5.81303358;160;127;102;1.000000
3.94268370;-2.78452778;-5.81496191;123;98;73;1.000000
4.07404375;-2.70018744;-5.81684542;148;115;90;1.000000
3.94765091;-2.81869841;-5.81459236;158;125;92;1.000000
3.89593077;-2.85854959;-5.81377220;157;124;99;1.000000
3.81386614;-2.81528282;-5.81372690;132;99;74;1.000000
3.88747334;-2.81813455;-5.81419182;148;107;82;1.000000
3.90187263;-2.83987236;-5.81403303;142;101;76;1.000000
3.86990547;-2.86058307;-5.81357241;138;105;80;1.000000
3.95081091;-2.78440642;-5.81501865;123;98;73;1.000000
3.83537364;-2.78819203;-5.81419230;150;117;92;1.000000
3.96328878;-2.77114320;-5.81525898;138;105;80;1.000000
3.94054508;-2.76254344;-5.81520653;142;101;76;1.000000
3.77711248;-2.81234694;-5.81351280;146;113;88;1.000000
4.00150490;-2.77072501;-5.81552267;127;102;77;1.000000
4.02215099;-2.70779681;-5.81640434;134;92;68;1.000000
3.91137815;-2.83205628;-5.81418943;115;90;73;1.000000
3.99213934;-2.71562696;-5.81610870;145;128;104;1.000000
3.88270140;-2.87811708;-5.81345224;150;117;92;1.000000
3.99419355;-2.78064728;-5.81535625;165;124;99;1.000000
4.02175140;-2.76184082;-5.81576490;134;101;76;1.000000
3.77145958;-2.85092402;-5.81301975;160;127;102;1.000000
3.99155736;-2.78869557;-5.81524324;143;102;77;1.000000
4.01845217;-2.75993323;-5.81576443;115;98;73;1.000000
3.76296377;-2.83530617;-5.81314611;123;106;82;1.000000
3.97904372;-2.74804378;-5.81563807;138;105;80;1.000000
4.04623604;-2.70885921;-5.81655502;132;99;74;1.000000
3.90266418;-2.88039446;-5.81356049;150;109;84;1.000000
3.85764790;-2.77787924;-5.81446457;164;123;98;1.000000
3.98683739;-2.77691746;-5.81535053;153;120;95;1.000000
3.83366966;-2.81754732;-5.81383467;145;120;95;1.000000
3.92930007;-2.87026525;-5.81385994;146;105;80;1.000000
4.05090237;-2.72675562;-5.81637573;142;109;92;1.000000
3.76159954;-2.82073927;-5.81330919;140;99;74;1.000000
3.84665251;-2.82653117;-5.81381607;127;102;77;1.000000
3.91911602;-2.84454632;-5.81409454;148;115;91;1.000000
3.83272982;-2.85388970;-5.81339931;142;109;92;1.000000
3.87723827;-2.82494426;-5.81404257;138;105;80;1.000000
3.92085838;-2.88184452;-5.81366682;140;116;99;1.000000
3.90340185;-2.83052373;-5.81415367;146;105;88;1.000000
3.76365113;-2.82596469;-5.81326151;142;109;84;1.000000
3.83552265;-2.78045011;-5.81428432;156;123;98;1.000000
3.87224221;-2.76303768;-5.81473827;138;105;80;1.000000
3.98678255;-2.72848082;-5.81592131;132;107;82;1.000000
3.87295032;-2.88600326;-5.81329298;148;115;82;1.000000
3.85905266;-2.88992667;-5.81315327;148;115;98;1.000000
3.77226925;-2.80894446;-5.81352043;156;123;98;1.000000
3.96021485;-2.83571172;-5.81447697;164;131;107;1.000000
3.97596002;-2.73136306;-5.81581402;138;105;80;1.000000
3.86069298;-2.82731581;-5.81390238;146;113;88;1.000000
3.77969575;-2.84543777;-5.81314039;157;124;99;1.000000
3.81163836;-2.83686376;-5.81345749;146;113;97;1.000000
3.86246705;-2.88564420;-5.81322622;137;112;95;1.000000
3.90228128;-2.85437346;-5.81386471;145;112;87;1.000000
4.05320597;-2.69982839;-5.81670904;142;109;84;1.000000
3.81067801;-2.79085541;-5.81399345;158;125;92;1.000000
3.81729889;-2.80395532;-5.81388378;154;113;88;1.000000
3.88846254;-2.77677178;-5.81468630;140;107;82;1.000000
3.96889043;-2.74212360;-5.81563902;138;105;80;1.000000
4.09199429;-2.66386700;-5.81739521;138;105;88;1.000000
4.08168554;-2.67103052;-5.81724119;142;109;92;1.000000
3.85670996;-2.87309551;-5.81333542;130;97;80;1.000000
3.75427365;-2.82806563;-5.81317282;148;115;90;1.000000
3.95501256;-2.83584261;-5.81444025;156;115;90;1.000000
3.87768793;-2.88575077;-5.81332827;148;115;82;1.000000
3.90565252;-2.75086331;-5.81510782;134;101;76;1.000000
4.07510900;-2.67422915;-5.81715870;142;109;92;1.000000
4.00419903;-2.70941591;-5.81626415;110;94;77;1.000000
3.96282363;-2.78723812;-5.81506634;123;90;65;1.000000
3.93904209;-2.81359339;-5.81459475;151;110;85;1.000000
3.78540993;-2.81256509;-5.81356668;150;117;92;1.000000
3.85331941;-2.84795594;-5.81360912;115;90;73;1.000000
4.01777077;-2.76351500;-5.81571770;127;110;85;1.000000
