x;y;z;R;G;B;semantic_label
6.40159512;-2.41384673;-6.75934553;134;101;76;1.000000
4.40551472;-2.44225621;-4.01694822;142;109;92;1.000000
-2.78272414;-0.82247055;-1.89419317;156;164;173;2.000000
6.56258345;-0.38303944;-7.06249285;156;164;173;2.000000
-2.79215527;-1.41711640;-5.70466995;189;156;131;2.000000
-2.26810312;-2.36024284;-4.58539581;123;98;73;1.000000
1.45271707;-1.25150347;-7.06641388;156;164;173;2.000000
7.74176359;-2.39875793;-4.74617767;173;140;132;2.000000
5.17977858;-0.18175642;-1.89409494;185;185;185;0.000000
4.07919455;-0.08173220;-6.73712730;216;216;216;0.000000
7.75017452;-1.71946490;-4.30211926;156;164;173;2.000000
1.48933232;-2.36390352;-6.56765223;146;113;88;1.000000
-2.26258612;-1.27962625;-7.05540609;111;111;94;2.000000
6.63097954;-2.11817336;-7.09335518;157;132;124;2.000000
-2.79881263;-2.03227282;-3.81580281;193;160;151;2.000000
7.22943354;-2.43231940;-6.23357296;156;115;90;1.000000
4.26527500;-2.43050408;-4.57596684;132;91;58;1.000000
4.92736673;-2.25921631;-3.88124037;105;105;105;3.000000
-1.55332112;-2.38523555;-3.63490868;138;113;88;1.000000
3.46694803;-2.41287875;-5.06268501;138;105;88;1.000000
3.47198272;-1.92199218;-2.91325045;158;109;92;3.000000
1.30500901;-2.41816044;-3.50209212;123;98;73;1.000000
4.05224657;-2.38675690;-6.84183216;140;116;99;1.000000
6.92927313;-2.45173955;-4.98995399;142;109;92;1.000000
-1.62835741;-0.66967916;-7.04921341;154;163;171;2.000000
1.86421728;-1.85756028;-3.86531496;83;66;66;3.000000
3.54835272;-2.05559921;-7.08534145;171;138;130;2.000000
7.74404621;-1.90169871;-6.69461727;191;158;150;2.000000
2.41870332;-0.36830220;-7.05294704;156;164;173;2.000000
0.60964888;-2.36271358;-6.13523722;154;113;88;1.000000
-1.67494345;-1.84782958;-4.17891884;196;146;121;5.000000
4.55434847;-2.42919731;-4.82034826;154;113;80;1.000000
-1.88750470;-2.33871770;-5.99205685;164;123;90;1.000000
0.57639378;-2.34649682;-7.00246429;138;105;80;1.000000
4.34577703;-2.08255219;-7.08760500;182;149;141;2.000000
1.75558805;-0.06349073;-6.36726046;211;211;211;0.000000
4.12365580;-2.46524930;-2.59042072;140;99;74;1.000000
4.26143408;-2.41509962;-5.41638947;125;109;92;1.000000
3.42549062;-2.39495802;-6.01829338;146;113;88;1.000000
2.82722878;-2.46202254;-2.00312662;150;117;92;1.000000
-2.66536641;-1.78656495;-5.88044357;91;107;107;5.000000
-0.32652241;-1.59139359;-7.06844330;156;164;173;2.000000
5.10016727;-0.95377553;-7.11697292;134;134;142;2.000000
-2.79102421;-1.45170116;-5.45749044;206;121;70;2.000000
4.28629398;-2.42213130;-5.04657459;158;117;92;1.000000
-0.55215442;-1.92339230;-3.41451740;101;101;101;5.000000
-2.66580176;-2.24998689;-1.97981787;181;198;181;4.000000
7.44067001;-1.90853167;-3.05242777;146;146;146;4.000000
-1.03888142;-1.17039907;-7.05939627;156;164;173;2.000000
-0.07423615;-2.37139130;-5.26818085;130;97;72;1.000000
0.80830932;-2.43874598;-2.09043503;146;105;80;1.000000
2.29213905;-0.08665799;-5.41179085;223;223;223;0.000000
-2.77314401;-1.64770198;-4.47457838;220;196;171;2.000000
-2.78097606;-0.24940644;-4.31581879;156;164;173;2.000000
-2.61098456;-1.67181015;-2.02687216;18;26;10;4.000000
6.99060965;-2.45308948;-4.95205593;138;105;80;1.000000
2.50213909;-2.43649435;-3.20417619;158;117;84;1.000000
2.11055470;-2.37395191;-6.38393211;167;134;101;1.000000
-0.70318353;-0.85018909;-7.05448103;154;163;171;2.000000
-1.85885525;-2.34592319;-5.61330795;115;99;74;1.000000
1.34365571;-0.06809811;-5.87113190;224;224;224;0.000000
-0.73604381;-1.83762479;-5.63883352;179;130;105;5.000000
-0.16205242;-2.43086576;-1.95039797;150;117;92;1.000000
-2.17639446;-2.40822768;-2.00448608;164;131;107;1.000000
-2.80185723;-1.80310810;-6.90966177;178;153;145;2.000000
-2.47442031;-2.32367110;-2.44451714;231;231;231;4.000000
5.47997665;-0.18475111;-1.90683126;218;218;218;0.000000
4.52345657;-2.40805364;-5.95864296;138;97;72;1.000000
-1.20499349;-0.80822724;-7.05261421;156;164;173;2.000000
-1.92240381;-2.36291218;-4.64288712;149;124;99;1.000000
3.19164443;-2.44461012;-3.16579747;140;99;74;1.000000
-1.71635878;-2.41048265;-1.83510876;192;158;141;2.000000
6.24323606;-2.50095248;-1.88253784;146;105;80;1.000000
-2.76229501;-0.19065255;-2.49490023;224;224;224;2.000000
-2.78646183;-0.80084699;-4.14362717;154;163;171;2.000000
-0.90539843;-2.37386203;-4.64192152;158;117;92;1.000000
-2.61679888;-1.63345861;-2.03610325;90;90;22;4.000000
7.54159021;-2.51403189;-1.93069744;146;105;80;1.000000
-2.79376101;-1.50146413;-4.11195850;156;164;173;2.000000
5.31375456;-1.93466687;-3.56783080;171;121;97;5.000000
-2.78494334;-0.26789427;-6.45723057;156;164;173;2.000000
6.91132641;-2.49951291;-2.35595369;163;130;105;1.000000
7.75867224;-0.47955349;-6.86727524;156;164;173;2.000000
6.60616398;-1.93271673;-5.51944256;90;65;65;5.000000
1.57931828;-2.40669560;-4.28778315;123;98;82;1.000000
0.39574555;-2.37338305;-5.43262148;154;121;88;1.000000
5.47493315;-0.14944230;-3.84275937;221;221;221;0.000000
5.37717390;-2.17026401;-5.36187601;138;97;80;3.000000
0.00302845;-2.37355018;-5.19526196;127;102;85;1.000000
7.75838327;-0.50766486;-6.86361217;156;164;173;2.000000
-0.52711570;-1.94097519;-5.91251469;73;73;73;5.000000
2.35905099;-1.96832311;-7.08113241;173;140;132;2.000000
0.26693875;-0.04197221;-6.67024899;227;227;227;0.000000
4.50202703;-1.11726904;-7.12411022;158;158;167;2.000000
-2.77730083;-1.66715109;-1.95285034;224;224;224;2.000000
5.50937796;-0.16584641;-7.05628872;156;164;173;2.000000
-2.78614807;-0.90116590;-3.36797953;157;165;173;2.000000
-1.56521368;-2.00616693;-3.66401744;72;55;55;5.000000
5.57057047;-0.70644391;-7.11053276;215;215;215;2.000000
7.75609303;-1.53644121;-2.03334522;158;167;175;2.000000
1.32389653;-0.04591206;-7.07774401;222;222;222;0.000000
0.02392269;-2.11876631;-5.75782824;80;80;80;3.000000
-2.75885487;-0.90644324;-1.95025253;230;230;230;2.000000
0.00704607;-2.43192101;-1.99227285;138;105;80;1.000000
-0.99846894;-0.03322325;-6.40372372;218;218;218;0.000000
3.26736331;-0.16114068;-1.89734125;219;219;219;0.000000
-2.78603911;-0.72073752;-4.38092422;156;164;173;2.000000
6.24363661;-2.42719126;-5.93329239;156;115;90;1.000000
-2.77960920;-2.35178828;-4.67393684;157;132;124;2.000000
1.00684941;-2.38116646;-5.34960318;158;117;92;1.000000
1.38298464;-2.37430167;-5.93850374;140;107;82;1.000000
-1.48277199;-2.34059429;-6.12790632;148;115;98;1.000000
6.72050905;-2.47105050;-3.80630803;134;101;84;1.000000
-1.24083745;-2.39234018;-3.42917728;140;115;98;1.000000
6.03463173;-0.19215070;-1.82788372;220;220;220;0.000000
5.25379801;-2.47611237;-2.66261148;148;107;82;1.000000
7.75677395;-0.91335326;-4.29731846;168;226;250;2.000000
-2.12409139;-0.04859000;-4.89548492;210;210;210;0.000000
7.31289482;-0.61307490;-7.06824493;156;164;173;2.000000
-2.80062890;-2.28675032;-3.33077407;187;154;146;2.000000
-1.80152738;-2.36511683;-4.59316349;140;107;82;1.000000
-1.26774085;-0.17989203;-7.04135227;158;167;175;2.000000
7.02158642;-2.47684360;-3.66588020;150;109;84;1.000000
1.90461349;-0.06876536;-6.16559792;216;216;216;0.000000
5.47594261;-0.37071753;-7.05983973;154;163;171;2.000000
3.38685775;-1.97098279;-5.28032684;109;109;109;5.000000
6.11393404;-2.42566729;-5.94039249;130;105;88;1.000000
7.74602604;-2.35637355;-2.86196280;174;149;141;2.000000
1.03615260;-2.36670303;-6.15611887;142;101;76;1.000000
0.06124143;-0.12740308;-1.85748482;185;185;185;0.000000
-1.44686937;-0.11165316;-1.83217907;221;221;221;0.000000
5.43057966;-2.20004797;-5.08511496;84;84;84;3.000000
-2.76685143;-1.59370637;-5.28402376;214;190;165;2.000000
7.72897673;-2.48608518;-2.33822823;186;161;153;2.000000
0.77238524;-1.46048117;-7.34711075;220;220;220;2.000000
3.05249381;-1.97098374;-7.08273315;157;132;124;2.000000
7.75791454;-1.18175209;-3.11432767;158;167;175;2.000000
6.64528418;-2.49767685;-2.29977608;144;119;94;1.000000
2.23273230;-1.38693511;-7.10504007;224;224;224;2.000000
-2.77580309;-1.76425505;-2.41274118;184;151;143;2.000000
7.58370590;-2.46876764;-4.44120502;158;134;109;1.000000
5.54921341;-0.17268236;-2.61043310;223;223;223;0.000000
0.17821240;-2.40151763;-3.76286173;138;105;80;1.000000
4.77572441;-0.98767316;-7.12243032;134;134;142;2.000000
5.78170872;-0.93851912;-7.11822939;134;134;150;2.000000
1.99725449;-0.10020509;-4.49380779;224;224;224;0.000000
0.28230545;-2.39424777;-4.22348213;136;119;102;1.000000
0.88095611;-1.38455856;-7.36572313;191;157;106;2.000000
6.37286329;-1.51032066;-7.08201838;154;163;171;2.000000
6.95556307;-2.50840163;-1.89401150;158;125;101;1.000000
2.01185822;-2.36468172;-6.83139610;154;113;88;1.000000
4.64860058;-2.19707966;-3.87732625;90;65;65;3.000000
3.40205789;-2.39702487;-5.89117002;154;121;97;1.000000
-0.57028747;-2.03174210;-7.07569075;165;140;132;2.000000
-2.78180361;-0.40747181;-3.84375978;154;163;171;2.000000
6.11776304;-0.16241199;-3.51001620;207;207;207;0.000000
-0.68403214;-2.35418797;-5.85290098;154;121;97;1.000000
-0.13232155;-0.09102143;-3.74107623;221;221;221;0.000000
-0.50205088;-1.99365222;-5.61705303;84;84;84;5.000000
7.74625111;-1.71793664;-6.53803396;156;164;173;2.000000
-0.09711342;-0.07405261;-4.69370079;214;214;214;0.000000
4.77992535;-0.93268943;-7.11588240;134;134;150;2.000000
4.09285498;-2.42949963;-4.52783203;138;97;72;1.000000
-1.30048645;-2.30550408;-4.02134323;90;65;57;5.000000
4.72750902;-0.09178606;-6.56772137;223;223;223;0.000000
0.90228915;-2.29825854;-7.37860775;248;190;132;2.000000
3.47675705;-2.18759012;-3.05825281;167;117;101;3.000000
2.95490170;-2.38876700;-6.07550001;138;105;80;1.000000
2.16131163;-2.40340090;-4.80838633;150;109;84;1.000000
-2.79471946;-1.81912768;-2.76344919;194;161;153;2.000000
6.06293154;-2.44871378;-4.64476585;130;97;80;1.000000
-2.60184050;-2.36273766;-2.41318417;226;226;226;4.000000
1.14689028;-0.05452654;-6.50025749;218;218;218;0.000000
4.97369003;-2.43420386;-4.79731750;150;109;76;1.000000
0.99155456;-2.25487089;-7.35718775;253;196;138;2.000000
-2.78355074;-0.91694325;-5.72459698;185;185;185;2.000000
-1.05800581;-0.10671254;-2.33302879;205;205;205;0.000000
-2.00957537;-2.39961123;-2.57614183;168;134;100;1.000000
5.80453873;-2.30819440;-5.04897308;113;113;113;3.000000
-1.63774490;-2.33884311;-6.13258934;150;109;84;1.000000
3.54884243;-2.42486477;-4.45591593;132;99;82;1.000000
0.45690519;-2.42323375;-2.73484564;157;116;91;1.000000
